Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1403	0.259444	1394	0.063845	120	0.416667	1083	0.302862	0.000007	706	0.301700	0.125117	697	0.216643	45.173716	1083	0.302862	0.207750	0.227662	
1390	0.310791	1374	0.082969	136	0.419118	1100	0.320909	0.000007	702	0.313390	0.082347	688	0.308140	45.173716	1100	0.320909	0.239000	0.227669	
1386	0.326118	1383	0.069414	130	0.446154	1101	0.311535	0.000007	705	0.320567	0.082420	681	0.331865	45.173716	1101	0.311535	0.237250	0.227675	
1386	0.279221	1390	0.065468	166	0.433735	1058	0.328922	0.000007	692	0.293353	0.082419	694	0.265130	45.173716	1058	0.328922	0.224500	0.227673	
1377	0.298475	1379	0.068891	156	0.512821	1088	0.337316	0.000007	671	0.305514	0.082410	706	0.291785	45.173716	1088	0.337316	0.238250	0.227680	
1355	0.297417	1388	0.077810	130	0.507692	1127	0.286602	0.000007	697	0.327116	0.082380	658	0.265957	45.173716	1127	0.286602	0.225000	0.227678	
1321	0.330053	1388	0.069885	149	0.496644	1142	0.318739	0.000007	653	0.306279	0.082336	668	0.353293	45.173716	1142	0.318739	0.242750	0.227688	
1421	0.344124	1409	0.078779	140	0.407143	1030	0.342718	0.000007	739	0.299053	0.082387	682	0.392962	45.173716	1030	0.342718	0.252500	0.227704	
1406	0.322902	1397	0.067287	136	0.419118	1061	0.308200	0.000007	689	0.301887	0.082420	717	0.343096	45.173716	1061	0.308200	0.233000	0.227707	
1404	0.301282	1334	0.065967	150	0.440000	1112	0.301259	0.000007	685	0.316788	0.082461	719	0.286509	45.173716	1112	0.301259	0.228000	0.227707	
1333	0.300075	1469	0.070116	132	0.462121	1066	0.334897	0.000007	653	0.324655	0.082490	680	0.276471	45.173716	1066	0.334897	0.230250	0.227709	
1373	0.313911	1405	0.064057	115	0.513043	1107	0.340560	0.000007	707	0.288543	0.082481	666	0.340841	45.173716	1107	0.340560	0.239250	0.227716	
1346	0.315750	1374	0.067686	135	0.451852	1145	0.324891	0.000007	700	0.314286	0.082509	646	0.317337	45.173716	1145	0.324891	0.237750	0.227722	
1376	0.344477	1408	0.065341	121	0.347107	1095	0.353425	0.000007	675	0.327407	0.082514	701	0.360913	45.173716	1095	0.353425	0.248750	0.227736	
1372	0.317055	1392	0.061782	136	0.441176	1100	0.322727	0.000007	713	0.297335	0.082550	659	0.338392	45.173716	1100	0.322727	0.234000	0.227740	
1379	0.300218	1358	0.060383	148	0.385135	1115	0.350673	0.000007	757	0.309115	0.082570	622	0.289389	45.173716	1115	0.350673	0.236000	0.227745	
1416	0.298023	1321	0.082513	143	0.461538	1120	0.311607	0.000007	722	0.267313	0.082556	694	0.329971	45.173716	1120	0.311607	0.236500	0.227750	
1364	0.327713	1375	0.073455	144	0.479167	1117	0.345568	0.000007	663	0.298643	0.082575	701	0.355207	45.173716	1117	0.345568	0.250750	0.227765	
1378	0.291001	1367	0.066569	127	0.362205	1128	0.325355	0.000007	692	0.304913	0.082662	686	0.276968	45.173716	1128	0.325355	0.226250	0.227764	
1350	0.316296	1405	0.082562	136	0.411765	1109	0.353472	0.000007	709	0.293371	0.082710	641	0.341654	45.173716	1109	0.353472	0.247750	0.227777	
1351	0.338268	1417	0.074100	127	0.503937	1105	0.268778	0.000007	666	0.303303	0.082738	685	0.372263	45.173716	1105	0.268778	0.230750	0.227778	
1408	0.301847	1353	0.075388	132	0.439394	1107	0.325203	0.000007	706	0.324363	0.082791	702	0.279202	45.173716	1107	0.325203	0.236250	0.227784	
1352	0.274408	1379	0.069616	144	0.472222	1125	0.336889	0.000007	679	0.315169	0.082792	673	0.233284	45.173716	1125	0.336889	0.228500	0.227784	
1419	0.326286	1340	0.055224	131	0.389313	1110	0.337838	0.000007	716	0.325419	0.082816	703	0.327169	45.173716	1110	0.337838	0.240750	0.227792	
1410	0.309929	1347	0.064588	129	0.434109	1114	0.305206	0.000007	723	0.298755	0.082851	687	0.321689	45.173716	1114	0.305206	0.230000	0.227794	
1402	0.376605	1380	0.086957	151	0.576159	1067	0.287723	0.000007	708	0.292373	0.082860	694	0.462536	45.173716	1067	0.287723	0.260500	0.227814	
1306	0.324655	1398	0.066524	140	0.464286	1156	0.316609	0.000007	686	0.338192	0.108801	620	0.309677	45.173716	1156	0.316609	0.237000	0.227820	
1366	0.289165	1396	0.089542	137	0.554745	1101	0.306085	0.000007	686	0.313411	0.083165	680	0.264706	45.173716	1101	0.306085	0.233250	0.227824	
1372	0.290087	1379	0.073967	139	0.438849	1110	0.331532	0.000007	680	0.297059	0.083159	692	0.283237	45.173716	1110	0.331532	0.232250	0.227826	
1379	0.282088	1362	0.087372	129	0.449612	1130	0.299115	0.000007	708	0.319209	0.083143	671	0.242921	45.173716	1130	0.299115	0.226000	0.227825	
1383	0.264642	1404	0.076923	140	0.435714	1073	0.322460	0.000007	700	0.271429	0.083128	683	0.257687	45.173716	1073	0.322460	0.220250	0.227820	
1402	0.307418	1331	0.062359	130	0.430769	1137	0.292876	0.000007	711	0.331927	0.083125	691	0.282200	45.173716	1137	0.292876	0.225750	0.227819	
1389	0.285097	1338	0.068759	129	0.465116	1144	0.313811	0.000007	682	0.297654	0.083136	707	0.272984	45.173716	1144	0.313811	0.226750	0.227818	
1396	0.276504	1349	0.074129	143	0.503497	1112	0.311151	0.000007	679	0.321060	0.083136	717	0.234310	45.173716	1112	0.311151	0.226000	0.227817	
1357	0.271923	1391	0.070453	134	0.462687	1118	0.262075	0.000007	681	0.311307	0.083144	676	0.232249	45.173716	1118	0.262075	0.205500	0.227803	
1365	0.259341	1385	0.054874	124	0.451613	1126	0.313499	0.000007	679	0.281296	0.083163	686	0.237609	45.173716	1126	0.313499	0.209750	0.227792	
1391	0.274623	1444	0.083795	129	0.465116	1036	0.316602	0.000007	723	0.308437	0.083196	668	0.238024	45.173716	1036	0.316602	0.222750	0.227789	
1432	0.286313	1353	0.071693	145	0.489655	1070	0.330841	0.000007	698	0.275072	0.083211	734	0.297003	45.173716	1070	0.330841	0.233000	0.227792	
1408	0.319602	1330	0.072180	158	0.335443	1104	0.300725	0.000007	707	0.323904	0.083224	701	0.315264	45.173716	1104	0.300725	0.232750	0.227795	
1354	0.262925	1345	0.071375	143	0.398601	1158	0.344560	0.000007	678	0.297935	0.083238	676	0.227811	45.173716	1158	0.344560	0.227000	0.227795	
1322	0.276853	1422	0.055556	144	0.319444	1112	0.313849	0.000007	685	0.281752	0.083236	637	0.271586	45.173716	1112	0.313849	0.210000	0.227784	
